id;uuid;serial;number;date_of_issue;who_issued
1;менеджер Республика музыка;75491;44274;2021-06-15;Потрясающий
2;Cambridgeshire holistic;2127;25318;2021-06-16;Comoro syndicate
3;программирование;60158;30999;2021-06-16;парсер Гранитный
4;transform садинструмент Стальной;85372;67668;2021-06-15;target Автомобиль Right-sized
5;function middleware конденсатор;48407;4825;2021-06-16;Loan продукт НМЖД
6;incubate;73288;96398;2021-06-16;Стул обувь продукт
7;deposit Практичный Сент-Люсия;76386;89256;2021-06-16;Stand-alone
8;models leverage withdrawal;48712;98321;2021-06-15;золотой беспроводной Стул
9;User;43492;88049;2021-06-16;фиолетовый
10;область;25665;12968;2021-06-15;брандмауэр квантифицировать
